1655112236.096023000,327,1,1400
1655112236.096193000,329,1401,1400
1655112236.145361000,331,2801,1400
1655112236.145362000,332,4201,1448
1655112236.145498000,335,5649,1352
1655112236.195543000,337,7001,1400
1655112236.195544000,338,8401,1448
1655112236.195544000,339,9849,1448
1655112236.195544000,340,11297,1448
1655112236.195675000,345,12745,1448
1655112236.195699000,347,14193,1208
1655112236.245358000,349,15401,1400
1655112236.245359000,350,16801,1448
1655112236.245498000,353,18249,1352
1655112236.294651000,355,19601,1400
1655112236.294652000,356,21001,1448
1655112236.294782000,359,22449,1352
1655112236.346060000,361,23801,1400
1655112236.346060000,362,25201,1448
1655112236.346061000,363,26649,1448
1655112236.346061000,364,28097,1448
1655112236.346196000,369,29545,1448
1655112236.346197000,370,30993,1208
1655112236.394943000,373,32201,1400
1655112236.394944000,374,33601,1448
1655112236.394944000,375,35049,1448
1655112236.394944000,376,36497,1448
1655112236.395068000,381,37945,1448
1655112236.395090000,383,39393,1208
1655112236.445222000,385,40601,1400
1655112236.445222000,386,42001,1448
1655112236.445311000,389,43449,1448
1655112236.445311000,390,44897,1448
1655112236.445311000,391,46345,1448
1655112236.445355000,392,47793,1208
1655112236.494837000,394,49001,1400
1655112236.494838000,395,50401,1448
1655112236.494838000,396,51849,1448
1655112236.494838000,397,53297,1448
1655112236.494967000,400,54745,1256
1655112236.545446000,402,56001,1400
1655112236.545447000,403,57401,1448
1655112236.545447000,404,58849,1448
1655112236.545447000,405,60297,1448
1655112236.545577000,410,61745,1448
1655112236.545578000,411,63193,1448
1655112236.545578000,412,64641,1448
1655112236.545625000,416,66089,1448
1655112236.545625000,417,67537,1064
1655112236.604498000,420,68601,1400
1655112236.604498000,421,70001,1448
1655112236.604669000,424,71449,1352
1655112236.654121000,426,72801,1400
1655112236.654185000,428,74201,1448
1655112236.654234000,430,75649,1448
1655112236.654293000,432,77097,1304
1655112236.654341000,434,78401,1448
1655112236.654421000,436,79849,1352
1655112236.654486000,438,81201,1448
1655112236.654550000,440,82649,1352
1655112236.655635000,442,84001,1400
1655112236.704297000,444,85401,1400
1655112236.704298000,445,86801,1448
1655112236.704395000,447,88249,1448
1655112236.704420000,448,89697,1448
1655112236.704473000,450,91145,1448
1655112236.704509000,451,92593,1208
1655112236.704614000,452,93801,1448
1655112236.704662000,453,95249,1448
1655112236.704829000,455,96697,1304
1655112236.753704000,457,98001,1400
1655112236.753745000,458,99401,1448
1655112236.753825000,460,100849,1448
1655112236.753868000,461,102297,1448
1655112236.753924000,462,103745,1256
1655112236.754014000,463,105001,1448
1655112236.754069000,464,106449,1448
1655112236.754232000,466,107897,1304
1655112236.803878000,468,109201,1400
1655112236.803936000,469,110601,1448
1655112236.803991000,470,112049,1448
1655112236.804043000,472,113497,1448
1655112236.804093000,473,114945,1448
1655112236.804140000,474,116393,1208
1655112236.855151000,476,117601,1400
1655112236.855151000,477,119001,1448
1655112236.855238000,479,120449,1448
1655112236.855273000,480,121897,1448
1655112236.855324000,481,123345,1448
1655112236.855378000,482,124793,1208
1655112236.855478000,483,126001,1448
1655112236.855516000,484,127449,1448
1655112236.855702000,486,128897,1304
1655112236.903890000,488,130201,1400
1655112236.903891000,489,131601,1448
1655112236.903950000,490,133049,1448
1655112236.904005000,492,134497,1448
1655112236.904051000,493,135945,1448
1655112236.904128000,494,137393,1208
1655112236.904192000,495,138601,1448
1655112236.904242000,496,140049,1448
1655112236.904400000,498,141497,1304
1655112236.953662000,500,142801,1400
1655112236.953703000,501,144201,1448
1655112236.953783000,503,145649,1448
1655112236.953836000,504,147097,1448
1655112236.953880000,505,148545,1256
1655112236.954098000,507,149801,1400
1655112237.003476000,509,151201,1400
1655112237.003477000,510,152601,1448
1655112237.003554000,511,154049,1448
1655112237.003606000,512,155497,1448
1655112237.003648000,514,156945,1448
1655112237.003767000,515,158393,1208
1655112237.053727000,517,159601,1400
1655112237.053768000,518,161001,1448
1655112237.053846000,520,162449,1448
1655112237.053897000,521,163897,1448
1655112237.053938000,522,165345,1256
1655112237.054041000,523,166601,1448
1655112237.054094000,525,168049,1448
1655112237.054218000,526,169497,1304
1655112237.105261000,528,170801,1400
1655112237.105262000,529,172201,1448
1655112237.105349000,531,173649,1448
1655112237.105377000,532,175097,1448
1655112237.105427000,534,176545,1448
1655112237.105466000,535,177993,1208
1655112237.105571000,536,179201,1448
1655112237.105622000,537,180649,1448
1655112237.105797000,539,182097,1304
1655112237.154016000,541,183401,1400
1655112237.154016000,542,184801,1448
1655112237.154081000,543,186249,1448
1655112237.154132000,545,187697,1448
1655112237.154181000,546,189145,1448
1655112237.154239000,547,190593,1208
1655112237.203675000,549,191801,1400
1655112237.203732000,550,193201,1448
1655112237.203799000,552,194649,1448
1655112237.203852000,553,196097,1448
1655112237.203907000,554,197545,1256
1655112237.203997000,555,198801,1448
1655112237.204045000,557,200249,1448
1655112237.204102000,558,201697,1448
1655112237.204134000,559,203145,1256
1655112237.253596000,561,204401,1400
1655112237.253597000,562,205801,1448
1655112237.253706000,564,207249,1448
1655112237.253707000,565,208697,1448
1655112237.253764000,566,210145,1448
1655112237.253819000,567,211593,1208
1655112237.303159000,569,212801,1400
1655112237.303160000,570,214201,1448
1655112237.303266000,572,215649,1448
1655112237.303284000,573,217097,1448
1655112237.303363000,574,218545,1448
1655112237.303417000,575,219993,1208
1655112237.303476000,576,221201,1448
1655112237.303705000,578,222649,1352
1655112237.354946000,580,224001,1400
1655112237.354947000,581,225401,1448
1655112237.355020000,582,226849,1448
1655112237.355082000,584,228297,1448
1655112237.355125000,585,229745,1448
1655112237.355201000,586,231193,1208
